,model_name,is_topo,mse,mae,fid
0,OpenCylinderBatch_no_topo,False,1.1748827274803275,1.4505244690160457,
1,OctaBatch,True,1.6725263595581055,1.7542988061904907,
2,OpenCylinderBatch_no_topo,False,1.0943542679320586,1.3988766999910873,
3,Galaxy10Batch_no_topo,False,100.8232421875,281.57281494140625,282.5922579762902
4,Galaxy10Batch_no_topo,False,100.78244018554688,279.291748046875,262.0657150990522
5,OctaBatch_no_topo,False,1.7113378047943115,1.8053481578826904,
6,SwissRollBatch,True,1.944283366203308,1.7313296794891357,
7,OpenCylinderBatch_no_topo,False,1.080851916759623,1.3965168099286223,
8,OctaBatch,True,1.232953667640686,1.5449050664901733,
9,OpenCylinderBatch_no_topo,False,1.1696479856766777,1.4402089352866765,
10,SwissRollBatch,True,1.4816783666610718,1.57289457321167,
11,OctaBatch_no_topo,False,1.746185541152954,1.8197916746139526,
12,Galaxy10Batch_no_topo,False,100.02113342285156,277.34210205078125,283.17292222997617
13,Galaxy10Batch_no_topo,False,101.05172729492188,281.38983154296875,274.4677375184931
14,LettersBatch_no_topo,False,52.64548873901367,105.99617767333984,166.30671142416594
15,OctaBatch_no_topo,False,1.739427089691162,1.8301522731781006,
16,SwissRollBatch_no_topo,False,5.374935997552697,2.845251147827669,
17,MNISTBatch,True,41.05024337768555,78.12557983398438,136.4547037096625
18,LettersBatch_no_topo,False,54.046058654785156,107.05368041992188,163.04874623224214
19,OctaBatch_no_topo,False,1.7206919193267822,1.8090825080871582,
20,SwissRollBatch_no_topo,False,5.95531426689299,3.1115272404572822,
21,MNISTBatch,True,40.38298797607422,75.8211898803711,136.83281651676316
22,OpenCylinderBatch,True,0.9563021550476315,1.170351500776539,
23,OpenCylinderBatch,True,0.9907781897601435,1.174308537140503,
24,LettersBatch,True,46.890167236328125,93.17396545410156,132.3611022847722
25,SwissRollBatch,True,1.7887159585952759,1.7150012254714966,
26,LettersBatch,True,46.54129409790039,93.90650939941406,130.32350153754
27,SwissRollBatch,True,2.5145070552825928,2.0573620796203613,
28,Galaxy10Batch,True,89.34700775146484,275.5054931640625,273.24011395293485
29,Galaxy10Batch,True,87.50287628173828,268.9459228515625,274.0124983896517
30,MNISTBatch_no_topo,False,67.62565612792969,137.9671173095703,373.51245095913384
31,MNISTBatch_no_topo,False,67.59590148925781,136.69837951660156,350.329941358404
32,OctaBatch,True,1.8106021881103516,1.8161760568618774,
33,OpenCylinderBatch_no_topo,False,1.1437070147487611,1.42262883244821,
34,OctaBatch,True,1.6453121900558472,1.7408769130706787,
35,LettersBatch,True,46.694114685058594,92.83689880371094,134.52682865135944
36,SwissRollBatch,True,2.3028206825256348,1.9436191320419312,
37,LettersBatch,True,47.27313232421875,93.85061645507812,132.58511734565033
38,SwissRollBatch,True,2.032659382299971,1.8230381518683294,
39,SwissRollBatch_no_topo,False,6.100876580420231,3.060916390359238,
40,MNISTBatch,True,40.181148529052734,75.1879653930664,134.20348243245132
41,OctaBatch_no_topo,False,1.7850985527038574,1.8390132188796997,
42,LettersBatch_no_topo,False,57.926963806152344,117.12356567382812,226.6075624915376
43,SwissRollBatch_no_topo,False,4.96620318967066,2.737980094684792,
44,MNISTBatch,True,40.53605651855469,75.72423553466797,138.71944767626883
45,OctaBatch_no_topo,False,1.8187614679336548,1.8545886278152466,
46,LettersBatch_no_topo,False,76.28539276123047,152.2971649169922,260.2979775485507
